doc_id,participant_type,participant_id,early_late,work_mode,cohort_year,organization_name,text_ner
stu_03_wk02,student,3,early,hybrid,2025,World Central Kitchen,"Spent the first week orienting to the organization, learning humanitarian safeguarding principles, and completing safeguarding courses and certifications. Also prepared a presentation explaining the organization’s mission to present to supervisors. I developed a stronger understanding of humanitarian safeguarding practices. A challenge I encountered was the initial lack of structure during onboarding, but this was expected and will improve as I become more integrated into ongoing projects. I aim to deepen my understanding of the organization and contribute more actively to projects within the Safety and Security team as new activations arise."
stu_03_wk04,student,3,early,hybrid,2025,World Central Kitchen,"Created daily security briefs and tracked major global events, including the Iran–Israel conflict and the aftermath of Hurricane Erick. Worked on designing a travel toolkit grounded in a safety and security framework by conducting interviews with field staff to gather feedback and practical insights. I gained greater confidence in my interviewing skills. Interviewing initially felt challenging, as I sometimes lacked confidence and fluency in conversation. However, continued practice helped improve both clarity and confidence. I plan to complete the visual design of the toolkit and synthesize interview findings into a structured memo."
stu_03_wk06,student,3,late,hybrid,2025,World Central Kitchen,"Created daily security briefs and monitored major global events, including the Iran–Israel conflict and the aftermath of Hurricane Erick. Continued developing a travel toolkit grounded in a safety and security framework and updated and summarized data related to safety and security incidents in Gaza. I continued building confidence in my interviewing skills. Interviewing remains a challenge at times, as I occasionally struggle with fluency and confidence, but repeated practice has helped improve clarity and effectiveness. I plan to complete the visual design of the toolkit, synthesize findings into a structured memo, and finalize updates to the Airtable database."
stu_03_wk08,student,3,late,hybrid,2025,World Central Kitchen,"Created daily security briefs and monitored major global events, including the Iran–Israel conflict and the aftermath of Hurricane Erick. Continued developing a travel toolkit grounded in a safety and security framework and updated and summarized incident data for all activations over the past year. Also contributed to an intern-led project focused on supporting a community in need in Washington, DC. I gained greater confidence in taking initiative within group settings. A challenge I encountered was unevenly distributing my workload over time, resulting in a heavier workload toward the end of the internship. I recognized that prioritizing tasks more effectively earlier on would have helped manage responsibilities more smoothly. I plan to complete the intern activation project, finalize the travel toolkit, and continue supporting staff with daily security briefings."
stu_03_wk10,student,3,late,hybrid,2025,World Central Kitchen,"Created daily security briefs and monitored major global events, including the Iran–Israel conflict and the aftermath of Hurricane Erick. Continued developing a travel toolkit grounded in a safety and security framework and updated and summarized incident data for activations over the past year. Also contributed to an intern-led activation project supporting a community in Washington, DC, which successfully provided meals to approximately 800 individuals in collaboration with a nonprofit partner. I continued building confidence in taking initiative within group settings. A challenge I encountered was that my internship concluded later than other interns, requiring me to continue working independently during the final week. I plan to present the completed toolkit and continue supporting staff with daily security briefings."
stu_04_wk02,student,4,early,hybrid,2025,George Washington University,"I focused on meeting staff across departments, understanding organizational structures, and aligning my internship goals with ongoing projects. As an international student, my initial off-campus placement was adjusted to an on-campus internship. Although summer is a quieter period, I identified meaningful opportunities to contribute, particularly in program evaluation. I decided to center my internship around program evaluation and integrate this focus across all projects. My responsibilities included creating and managing a partner organization database, developing a program evaluation framework, drafting content ideas for a 15th-year anniversary and annual report, completing background check procedures for a civic engagement program, and contributing to the development of a questionnaire for website rebranding. A key insight I gained relates to cross-cultural communication styles. Coming from a context where indirect communication and consensus-building are common, I observed that a more direct and assertive approach is encouraged in my current environment. Navigating this shift required intentional effort. I made a conscious decision to communicate my interests and goals more openly and to articulate how I could contribute to team projects. Preparing to work at a middle school in Ward 7 also prompted deeper reflection on community context, local challenges, and how evaluation frameworks can incorporate anthropological perspectives. I plan to continue updating the partner database, refine the program evaluation framework, conduct a site visit to observe and take field notes, and finalize and distribute the website rebranding questionnaire. I will also facilitate brainstorming sessions with team members."
stu_04_wk04,student,4,early,hybrid,2025,George Washington University,"I worked on multiple program evaluation and communication initiatives. I analyzed pre-intern survey data and developed a program evaluation presentation, drafted survey questions for partner organizations, prepared a briefing packet for international students, and supported cohort meetings. I also contributed to planning and drafting content for a 15-year anniversary special edition of an annual report, completed requirements for a background check process, conducted a site visit to a middle school to observe neighborhood and community assets, and organized content for a website rebranding initiative. One challenge I encountered was a delay in completing the background check process, which required additional medical testing due to prior international residence. This adjustment reduced my planned involvement in one program activity and required flexibility in scheduling. A significant area of growth during this period was participating in website rebranding efforts. Although I have prior experience writing web content, this was my first time engaging with broader considerations such as visual design, imagery, and strategic content selection, which expanded my understanding of communication work. I plan to finalize the briefing packet and partner organization survey, conduct follow-up meetings with partner organizations, consolidate and visualize data from past program outcomes, collect storytelling materials for the annual report, and continue drafting and organizing content for the website."
stu_04_wk06,student,4,late,hybrid,2025,George Washington University,"I worked on several program evaluation and communication initiatives. I developed survey questions for partner organizations, drafted interview questions for future program selection processes, planned student blog content, corresponded with students via email, and supported bi-weekly cohort meetings. I also consolidated program highlights, achievements, and quotations for an annual report, prepared presentation slides to share a community development project with middle school students, and contributed to website content planning. Writing the annual report required more time and effort than expected, as I needed to familiarize myself with multiple programs and understand how the organization envisioned presenting them. With support from staff, I gained clarity and improved efficiency. Managing responsibilities across multiple programs also required careful prioritization. Although balancing shifting tasks was challenging, I noticed gradual improvement in time management and organizational skills. while working at reduced capacity, I plan to continue developing website content, design data visualizations for the annual report, present the community development project to students, and contribute new content additions to the website."
stu_04_wk08,student,4,late,hybrid,2025,George Washington University,"I continued supporting website content development, corresponded with students, and assisted with bi-weekly cohort meetings. I advanced the design and visualization of the annual report and presented a community development project to middle school students. I also organized website content and supported professional communication through LinkedIn management. A meaningful experience during this period was presenting prior development work to middle school students. I carefully structured the presentation to communicate that changemaking can take many forms, whether through NGOs, schools, government agencies, or independent initiatives. I emphasized the importance of collaboration, focus, and empathy in creating meaningful change. After the presentation, I engaged with students and learned about the issues they are addressing, including mental health awareness, artificial intelligence in job searching, sexual harassment, and substance abuse. I was struck by their awareness of complex societal issues and inspired by their motivation to take action."
stu_04_wk10,student,4,late,hybrid,2025,George Washington University,"I was away and working at reduced capacity. I continued supporting website content development, contributed student blog materials, and advanced the design and visualization of the annual report. I also helped organize website content and supported professional communication through LinkedIn management. I plan to create a formal job description for the Humanitarian Fellow role and prepare a comprehensive handover report outlining completed tasks. I will continue expanding website content, including developing a visual map of countries and student project locations, finalize the annual report, and track ongoing website development and design coordination."
stu_05_wk02,student,5,early,hybrid,2025,World Central Kitchen,"Organized warehouse inventory records, created country reference pages to support rapid activation planning, entered returned field technology into a database, and assisted with warehouse organization. I developed skills using Airtable and Notion, as well as technical competencies such as disassembling and managing field equipment. A challenge I encountered was uncertainty about role expectations and workload. I addressed this by proactively clarifying responsibilities with my supervisor, which led to planning meetings to define longer-term projects and clearer task ownership. I aim to collaborate with the team to establish a long-term project and continue strengthening my skills using Airtable."
stu_05_wk04,student,5,early,hybrid,2025,World Central Kitchen,"Continued developing country reference pages, supported the community outreach team in Mexico by organizing contact information into a structured spreadsheet, and assisted with setting up a new office space. I strengthened my networking skills by conducting informational conversations with coworkers and learning how to build professional relationships within the organization. A challenge I faced was balancing time between the warehouse and the main office. I addressed this by communicating with my supervisor to clarify expectations regarding responsibilities and location, which helped improve coordination and task prioritization. I aim to refine and finalize the layout of the country reference pages and obtain approval to expand the project to additional countries."
stu_05_wk06,student,5,late,hybrid,2025,World Central Kitchen,"Began working on an intern capstone project focused on organizing a real activation in Washington, DC to support a community in need. During the early planning stages, I coordinated with internal teams, including community outreach and distribution, to gather guidance and align responsibilities. I also began identifying potential partner organizations and communities that could benefit from support. I strengthened my organizational and leadership skills by scheduling meetings, coordinating team roles, and taking initiative to advance project planning. A challenge I encountered was waiting for formal project approval, which slowed progress. I addressed this by maintaining consistent communication with my supervisor and following up persistently until the project received approval. I plan to collaborate more closely with the community outreach team to determine the activation site and target population. I also aim to finalize a menu and develop a budget to support funding requests."
stu_05_wk08,student,5,late,hybrid,2025,World Central Kitchen,"Researched organizations in Washington, DC that could serve as partners or identify communities in need for the intern activation project. Conducted outreach through email, phone calls, and in-person visits. Developed a community outreach tracking spreadsheet and created a distribution list to share promotional materials for the event. Coordinated with partner organizations to address questions, schedule meetings, and establish contingency plans for surplus meals. Prepared a high-level budget, menu, and supply list for the activation. I strengthened my organizational and coordination skills. Managing multiple timelines, action items, and external partners required consistent follow-up and clear communication. A challenge I encountered was scheduling time with points of contact and awaiting formal approval to move forward. I addressed this by maintaining professional persistence and regularly following up to keep the project progressing. I aim to successfully prepare and distribute approximately 1,000 meals with my team, connect with as many community members as possible, and ensure the activation is both impactful and well-organized. Following the event, I plan to finalize remaining projects and reflect on the overall internship experience."
stu_05_wk10,student,5,late,hybrid,2025,World Central Kitchen,"Led coordination for a mini activation project, managing communication with nonprofit partners, conducting community outreach, finalizing the menu and packing list, and ensuring alignment across team members. On the day of the event, I communicated directly with community members receiving meals and partner organizations, explaining the purpose of the activation and coordinating logistics. After the event, I prepared an after-action report, sent appreciation messages to partners, and completed follow-up tasks to close out the project. I strengthened my ability to communicate effectively with multiple stakeholders to ensure smooth event execution. A challenge arose when a partner organization was difficult to reach during logistical complications on the day of the activation. When access to a planned parking area was blocked and contact attempts were unsuccessful, the team adapted by identifying an alternative location and proceeding with the activation. This required flexibility, problem-solving, and calm decision-making under pressure. I plan to maintain professional connections developed during the internship and prepare a presentation summarizing my experience."
stu_06_wk02,student,6,early,hybrid,2025,Save the Children,"I completed onboarding and orientation activities and scheduled meetings with senior leadership across multiple teams to better understand departmental functions and how they align with my professional goals. I selected several senior leaders to shadow during the internship and observed a board meeting where leadership and staff engaged in strategic discussion. I was later assigned to develop a new internal SharePoint page for the department, collaborating with leadership and IT to determine design structure, identify key stakeholders, and formulate interview questions. I also prepared slide decks for monthly staff meetings. I strengthened my strategic thinking and systems-thinking skills. I gained insight into how different teams interact, how organizational challenges emerge, and how solutions can be designed across interconnected units. A challenge I encountered was navigating responsibilities during a period of departmental restructuring, which created some ambiguity around my role. I addressed this by maintaining consistent communication with my supervisor, asking clarifying questions, and staying engaged in ongoing discussions. I plan to begin stakeholder interviews to inform the development and design of the new SharePoint page."
stu_06_wk04,student,6,early,hybrid,2025,Save the Children,"I conducted stakeholder interviews with managing directors to gather their perspectives on the design and functionality of a new internal program management tool. I also developed a fact sheet summarizing ongoing conflicts and related projects to support policy and advocacy efforts during external engagement events. I strengthened my meeting facilitation skills by chairing interviews and guiding discussions toward clear objectives. A challenge arose when a stakeholder struggled to focus on the purpose of the meeting, which limited the clarity of the insights gathered. I addressed this by consulting with my supervisor, who facilitated a follow-up discussion to realign the conversation and ensure key perspectives were captured. I plan to build and refine the SharePoint page for review by leadership."
stu_06_wk06,student,6,late,hybrid,2025,Save the Children,"I completed revisions to an award management slide deck used by award managers to track ongoing grants within the department. I continued developing the internal SharePoint page and began drafting a monthly newsletter. I also participated in country office calls focused on monitoring and evaluation performance in West Africa, as well as inter-agency coordination calls related to the West Bank and Gaza region. I focused on strengthening my active listening skills and engaging thoughtfully with diverse perspectives. This was particularly important in meetings where language barriers were present. By listening carefully and interpreting contextual cues, I was better able to understand participants’ contributions and maintain effective communication. I plan to continue refining the SharePoint page, finalize the newsletter, and complete additional assignments as they arise."
stu_06_wk08,student,6,late,hybrid,2025,Save the Children,"I finalized the department’s newsletter and collaborated with the finance team to develop an award management budget template for global humanitarian and development projects across two major teams within the International Programs department. I also participated in various internal meetings to support ongoing coordination efforts. A challenge I encountered was uncertainty about how to approach a newly assigned task. Although I initially believed I understood the expectations, I became confused during implementation. I addressed this by proactively asking clarifying questions and maintaining open communication with my supervisor. Once expectations were clearly defined, I was able to complete the assignment successfully. I am focusing on developing a comprehensive pricing schedule to support financial planning for technical roles. I have completed the initial components and will continue refining the remaining sections while supporting any additional tasks that arise."
stu_06_wk10,student,6,late,hybrid,2025,Save the Children,"For my final project, I supported the contracts and proposal pricing team in developing a GSA schedule. I researched updated federal pricing for various technical roles, including project officers, budgeting officers, and monitoring and evaluation officers, and compiled an Excel spreadsheet outlining role classifications, SIN numbers, and hourly pricing ranges. I also analyzed other organizations holding GSA schedules, reviewing their terms, conditions, and pricing structures, and organized this information into a comparative spreadsheet. A challenge I encountered was navigating the GSA website, as it was unfamiliar to me. I addressed this by maintaining focus, conducting independent research, and regularly consulting my supervisor for clarification. Through persistence and structured inquiry, I was able to complete the assignment successfully."
stu_07_wk02,student,7,early,hybrid,2025,World Central Kitchen,"I focused on onboarding activities, meeting with team members, and learning about the organization’s structure and the development team’s operations. I began researching potential donors for a climate-focused disaster fund, cleaning and updating donor data in Salesforce, compiling contact information for outreach to past donors, and participating in routine team meetings. I gained a clearer understanding of how the development team functions and how individual roles contribute to fundraising strategy. A challenge I encountered was large-scale data cleaning, which required sustained attention to detail across extensive spreadsheet records. Maintaining precision while reviewing high volumes of data strengthened my focus and analytical discipline. I plan to complete the assigned data updates and begin brainstorming strategies to redesign the organization’s fundraising webpage with the community fundraising team. I also aim to expand professional connections within the broader development department."
stu_07_wk04,student,7,early,hybrid,2025,World Central Kitchen,"I focused on correcting donor address data that was not recognized by the Salesforce system and continued donor prospecting to identify corporate leads interested in building partnerships with the organization. An important insight during this period was recognizing that the organization is evolving, with anticipated team expansion and structural development in the coming months. A challenge I faced was completing all assigned tasks within the original timeline. To maintain quality standards, I communicated proactively with my team lead to request an extension, ensuring that the final deliverable met expectations. I plan to complete the redesign of the fundraising webpage and coordinate with the communications and graphics teams to implement updates on the official website."
stu_07_wk06,student,7,late,hybrid,2025,World Central Kitchen,"I continued corporate donor prospecting and expanded my research to family foundations that had not contributed to the organization in the past two years, with the goal of helping portfolio managers re-engage lapsed major donors. I redesigned the community fundraising webpage and developed a content plan to guide its structure and messaging. Additionally, I attended a training session for a new data project that will occupy a significant portion of my remaining internship. I implemented structured calendar time-blocking based on my supervisor’s advice. Because I support multiple teams beyond individual giving, this approach increased transparency regarding my workload and improved coordination. It strengthened my time management skills and accountability across teams. I did not encounter any major challenges during this time. I aim to make measurable progress on the new data project and complete my research on family foundations before the internship concludes."
stu_07_wk08,student,7,late,hybrid,2025,World Central Kitchen,"I focused primarily on donor prospecting to gather information on major lapsed family foundations in order to support efforts to revitalize those relationships. I also coordinated fundraising initiatives for a local mini activation event organized with other interns, helping raise over one thousand dollars within a three-day period. A challenge arose when a data cleaning project was delayed because the necessary guidelines had not yet been reviewed and approved by donor relations managers. As a result, I was unable to begin the assignment as originally scheduled. To address this, I proactively followed up with my point of contact to clarify timelines and expectations, which helped realign deliverables and reduce uncertainty. I plan to focus on reaching the fundraising target for the mini activation event and completing my research on family foundations."
stu_07_wk10,student,7,late,hybrid,2025,World Central Kitchen,"I focused on finalizing ongoing projects and launched a fundraising page to support a local intern activation event. Within one week, the campaign raised nearly two thousand dollars to contribute to the initiative. This experience allowed me to apply the fundraising strategies and knowledge I developed over the course of the internship. Designing and managing a fundraising campaign provided practical insight into donor engagement, messaging, and goal tracking. I will focus on completing the remaining requirements for my capstone project before the start of the upcoming academic semester."
stu_08_wk02,student,8,early,hybrid,2025,A Wider Circle,"I developed a curriculum guide for youth interested in activism. This included conducting research on youth activism, mental health, and youth poverty; drafting a structured presentation outline; and brainstorming interactive activities and worksheets. I also began learning the fundamentals of grant writing. I strengthened my multitasking and research organization skills by managing multiple sources and drafting materials simultaneously. A challenge I faced was maintaining discipline while working remotely, especially with limited supervision. To address this, I focused on improving time management and accountability in order to meet deadlines and maintain productivity. I plan to finalize the curriculum, continue developing grant writing skills, build stronger connections with office staff, and begin training to engage directly with clients."
stu_08_wk04,student,8,early,hybrid,2025,A Wider Circle,"I developed a curriculum guide for youth interested in activism. This involved conducting research on youth activism, mental health, and youth poverty, drafting a structured presentation outline, and brainstorming interactive activities and worksheets. I also began learning and contributing to grant writing. I strengthened my multitasking and research organization skills by managing multiple sources simultaneously while drafting materials. A challenge I encountered was maintaining discipline while working remotely, particularly with limited supervision and weekly check-ins. To address this, I focused on improving time management and accountability to ensure consistent productivity. I plan to finalize the curriculum, deepen my involvement in grant writing, build stronger connections with office staff, and begin training to interact more directly with clients."
stu_08_wk06,student,8,late,hybrid,2025,A Wider Circle,"I finalized and polished presentation materials for the youth activism program scheduled for August. I also conducted research on furniture poverty to develop evidence-based talking points for a conference presentation. I strengthened my research and verification skills by double-checking sources, creating citation pages, and ensuring that all information was accurate and well-documented. A challenge I encountered was completing tasks earlier than expected and feeling hesitant to request additional work. Although I have received positive feedback on my performance, I recognized that I need to become more comfortable initiating conversations about workload and seeking further responsibilities. I plan to communicate more openly with my supervisor about task allocation and explore opportunities to support other staff members where additional assistance may be needed."
stu_08_wk08,student,8,late,hybrid,2025,A Wider Circle,"I completed my curriculum project and had fewer assigned responsibilities while awaiting a new project. I took the opportunity to shadow members of the Essential Support team and observe client interactions, which provided valuable insight into direct service work. A challenge I encountered was having limited tasks during this transition period. To remain proactive, I reached out to my supervisor to offer support and inquire about additional responsibilities. I was informed that a new project would be assigned shortly, which I am looking forward to contributing to. An important insight came from shadowing a client interaction within the Essential Support team. Connecting personally with a client reinforced my interest in pursuing a career in humanitarian support and reminded me of the human impact of this work. I aim to fully commit to my final project and conclude the internship on a strong note. I am also preparing applications for future internships and seeking mentorship and references to support my professional development."
stu_09_wk02,student,9,early,hybrid,2025,A Wider Circle,"I conducted in-depth data analysis on a furniture poverty dataset, identifying trends and service gaps to inform outreach strategies and resource allocation. I also assisted with client services, supporting families receiving furniture and gaining direct insight into the impact of the organization’s work. Additionally, I contributed to a data integration project involving Mailchimp and Little Green Light (LGL), focusing on data filtering and segmentation to improve donor and volunteer communications. I strengthened my skills in data filtering, segmentation, and cleaning to support targeted engagement strategies. I also gained hands-on experience in nonprofit data management and the use of digital platforms for outreach and communication. I plan to continue analyzing furniture-related datasets to uncover insights for program improvement, refine contact segmentation strategies in communication platforms, support on-site client services, document data processes for continuity, and explore opportunities to streamline workflows through automation."
stu_09_wk04,student,9,early,hybrid,2025,A Wider Circle,"I worked directly with clients once per week, assisting them in selecting furniture and identifying their immediate needs. The remainder of my time was dedicated to research and data-related work, particularly involving donor and volunteer management systems. I completed a data project focused on cleaning, organizing, and segmenting subscriber information to improve communication strategies and outreach effectiveness. I also prepared to begin a new initiative building on the systems and insights developed in this phase. I strengthened my ability to manage and segment donor and subscriber data using digital platforms. A challenge I encountered was inconsistent and duplicated subscriber records, which complicated list organization. To address this, I manually cleaned, deduplicated, and reformatted the data using spreadsheet tools before re-uploading it into the communication platforms. This significantly improved data accuracy and usability for future campaigns. I plan to initiate the next data-focused project, continue client-facing work to remain connected to community needs, and support additional research and analysis related to service efficiency and furniture poverty."
stu_09_wk06,student,9,late,hybrid,2025,A Wider Circle,"I continued client-facing work one day per week, assisting individuals in selecting furniture and understanding their needs. I completed a data project involving cleanup, organization, and segmentation of subscriber records to improve communication outreach. I also began exploring the development of a chatbot using Google Dialogflow to enhance website interaction and client support. In addition, I continued research and data analysis related to furniture poverty and donation trends. I strengthened my data management and segmentation skills using digital platforms and expanded my technical knowledge by exploring conversational AI tools. A challenge I encountered involved inconsistencies and duplicate entries within subscriber data. I addressed this by manually cleaning and formatting the data in spreadsheet software before re-importing it into communication systems, improving overall accuracy and usability. I plan to continue client engagement, begin active development of the chatbot project, support ongoing data analysis and documentation efforts, and further develop skills in tools that enhance nonprofit productivity and communication."
stu_09_wk08,student,9,late,hybrid,2025,A Wider Circle,"I continued working directly with clients one day per week, assisting with furniture selection and identifying individual needs. The remainder of my time was spent designing and completing a chatbot using Google Dialogflow for the organization’s website to improve access to services and frequently asked questions. I also finalized and reviewed prior work on subscriber segmentation, ensuring clean and well-organized data for ongoing communication efforts. I gained hands-on practice building conversational flows and deepened my understanding of user-centered design and foundational natural language processing concepts. A challenge I encountered involved structuring intuitive and effective dialogue paths within the chatbot. To address this, I researched common user queries, analyzed examples of well-designed chatbot flows, and iteratively refined the structure based on testing to enhance usability and clarity. I plan to deploy and test the chatbot, gather feedback, and make improvements to increase accuracy and engagement. I will continue client-facing work to remain connected to community needs, support ongoing data analysis and content updates, and document the chatbot development process to support future maintenance and scalability."
stu_09_wk10,student,9,late,hybrid,2025,A Wider Circle,"I continued working directly with clients one day per week, assisting with furniture selection and identifying their needs. I also completed development of a chatbot using Google Dialogflow for the organization’s website to improve client access to services and frequently asked questions. In addition, I finalized and reviewed prior work on subscriber segmentation to ensure clean and well-organized data for ongoing communication efforts. I strengthened my skills in designing conversational flows and deepened my understanding of user-centered design and foundational natural language processing concepts. A challenge I encountered involved structuring intuitive and effective dialogue paths within the chatbot. To address this, I researched common user queries, examined examples of successful chatbot designs, and iteratively refined the structure based on testing to improve clarity and usability. I will complete materials for an upcoming presentation and prepare for the transition back to academic and internship responsibilities."
stu_10_wk02,student,10,early,hybrid,2025,A Wider Circle,"I supported a range of administrative and community engagement activities. I created event flyers using digital design tools, attended staff meetings to coordinate programming, and assisted community members visiting the hub by helping pack and distribute resources. I also participated in recurring community programs such as walking groups and discussion sessions. In addition, I conducted research on holiday programs and began collaborating on a project to document the history and accomplishments of the hub. I developed new skills in digital design and event communication. Learning to use Canva for flyer creation strengthened my ability to produce professional outreach materials. A challenge I initially faced was determining when and how to step in to provide assistance within a fast-paced community setting. I addressed this by proactively offering support and gradually becoming more comfortable with the hub’s workflow and expectations. I plan to continue contributing to the documentation project and provide support for upcoming events and community activities."
